address|text|type|size
00490de4|runtime error |string|16
00490df8|TLOSS error\r\n|string|16
00490e08|SING error\r\n|string|16
00490e18|DOMAIN error\r\n|string|16
00490e28|R6028\r\n- unable to initialize heap\r\n|string|40
00490e50|R6027\r\n- not enough space for lowio initialization\r\n|string|56
00490e88|R6026\r\n- not enough space for stdio initialization\r\n|string|56
00490ec0|R6025\r\n- pure virtual function call\r\n|string|40
00490ee8|R6024\r\n- not enough space for _onexit/atexit table\r\n|string|56
00490f20|R6019\r\n- unable to open console device\r\n|string|44
00490f4c|R6018\r\n- unexpected heap error\r\n|string|36
00490f70|R6017\r\n- unexpected multithread lock error\r\n|string|48
00490fa0|R6016\r\n- not enough space for thread data\r\n|string|44
00490fd0|\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application\'s support team for more information.\r\n|string|152
00491068|R6009\r\n- not enough space for environment\r\n|string|44
00491094|R6008\r\n- not enough space for arguments\r\n|string|44
004910c0|R6002\r\n- floating point not loaded\r\n|string|40
004910e8|Microsoft Visual C++ Runtime Library|string|37
00491114|Runtime Error!\n\nProgram: |string|26
00491134|<program name unknown>|string|23
0049116c|e+000|string|6
00491186|GAIsProcessorFeaturePresent|string|30
004911a4|KERNEL32|string|9
004911f4|_nextafter|string|12
0049124c|floor|string|6
004912a8|log10|string|6
004912b0|pow|string|4
004912b4|exp|string|4
00491320|exp2|string|5
00491328|exp10|string|6
00494d04|InitializeCriticalSectionAndSpinCount|string|38
00494d2c|kernel32.dll|string|13
00494da4|Program: |string|10
00494db0|A buffer overrun has been detected which has corrupted the program\'s\ninternal state.  The program cannot safely continue execution and must\nnow be terminated.\n|string|160
00494e50|Buffer overrun detected!|string|25
00494e70|A security error of unknown cause has been detected which has\ncorrupted the program\'s internal state.  The program cannot safely\ncontinue execution and must now be terminated.\n|string|177
00494f24|Unknown security failure detected!|string|35
00494f54|GetProcessWindowStation|string|24
00494f6c|GetUserObjectInformationA|string|26
00494f88|GetLastActivePopup|string|19
00494f9c|GetActiveWindow|string|16
00494fac|MessageBoxA|string|12
00494fb8|user32.dll|string|11
0049501c|1#QNAN|string|7
00495024|1#INF|string|6
0049502c|1#IND|string|6
00495034|1#SNAN|string|7
00495084|ファイル %s のオープン中にエラーが発生しました\r\n|string|49
004950b8|info : %s error\r\n|string|18
004950cc|info : %s close arcfile\r\n|string|26
004950e8|info : %s not found\r\n|string|22
00495100|info : %s open arcfile\r\n|string|25
0049523c|a|string|2
00495240|w|string|2
00495244|r|string|2
00495294|Streaming File Open %s\r\n|string|25
004952b0|error : m_apDSBuffer[0]->GetCurrentPosition in HandleWaveStreamNotification\r\n|string|78
00495300|error : m_pWaveFile->Read(+) in HandleWaveStreamNotification\r\n|string|63
00495340|error : m_pWaveFile->ResetFile in HandleWaveStreamNotification\r\n|string|65
00495384|error : m_pWaveFile->Read in HandleWaveStreamNotification\r\n|string|60
004953c0|error : Buffer->Lock in HandleWaveStreamNotification\r\n|string|55
004953f8|error : FillBufferWithSound in HandleWaveStreamNotification\r\n|string|62
00495438|error : RestoreBuffer in HandleWaveStreamNotification\r\n|string|56
00495470|Stream Skip\n|string|13
00495480|Success \r\n|string|11
0049548c|StreamingSound Create \r\n|string|25
004954a8|data/title01.anm|string|17
004954bc|data/title/phantasm.jpg|string|24
004954d4|%s %9d0 (%3d)|string|14
004954e4|Stage    HI-Score|string|18
004954f8|Stage6|string|7
00495500|Stage5|string|7
00495508|Stage4|string|7
00495510|Stage3|string|7
00495518|Stage2|string|7
00495520|Stage1|string|7
00495528|%s ----------|string|14
00495538|%s %9d0|string|8
00495540|Stage    LastScore|string|19
00495554|       %2.3f%%|string|15
00495564|%s %8s  %6s %7s  %8s|string|21
